DHI_NSRDB,DNI_NSRDB,GHI_NSRDB
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
8.0,0.0,8.0
53.5,349.5,165.5
141.0,469.5,385.0
97.5,914.0,699.5
108.5,955.5,864.5
117.5,969.5,959.0
120.0,971.5,978.0
320.5,70.5,381.0
170.0,11.0,179.0
137.5,4.0,140.5
118.0,21.5,127.5
42.5,130.5,54.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
14.0,187.5,30.5
54.5,697.5,241.0
74.5,874.5,493.0
86.5,955.5,715.5
95.5,995.5,882.0
100.5,1012.5,979.0
103.5,1012.0,998.0
104.0,995.0,936.5
100.0,959.0,802.0
90.5,894.0,605.0
74.5,765.5,365.0
43.5,446.5,118.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
15.5,149.5,28.5
52.0,285.0,110.5
139.5,419.5,319.0
89.5,937.0,705.5
436.0,199.5,596.0
474.0,90.5,552.5
494.5,113.5,595.0
273.0,518.5,699.5
365.5,64.5,413.0
200.0,15.5,209.5
131.0,380.0,258.0
45.0,429.0,117.5
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
13.5,178.0,28.5
73.0,315.5,137.0
140.5,447.0,332.5
305.5,91.0,368.0
269.0,583.5,719.0
410.5,118.5,512.5
394.0,32.5,423.0
407.0,71.0,465.5
378.5,83.5,440.5
183.0,477.5,440.0
40.0,418.5,221.5
38.5,504.0,123.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
13.0,183.0,28.0
51.0,691.0,233.0
91.0,450.5,327.5
325.5,118.0,401.0
149.5,501.5,533.0
341.0,40.5,376.5
407.5,49.5,451.5
409.0,47.5,448.5
350.0,50.5,387.0
283.5,140.0,368.5
173.5,208.0,253.5
45.0,427.5,119.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
15.0,124.5,25.0
67.0,574.5,218.5
96.0,769.5,462.0
115.5,860.0,679.5
436.5,150.0,555.0
301.0,648.0,861.5
509.5,167.5,659.0
445.5,99.0,530.5
229.0,205.0,387.5
128.0,18.0,138.0
78.5,34.5,90.0
58.5,15.0,62.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
11.0,0.0,11.0
63.0,255.0,114.0
138.5,431.5,361.5
108.0,883.5,687.5
426.0,305.0,667.5
402.5,222.0,594.0
247.0,17.5,262.5
255.0,18.5,271.5
271.0,512.5,661.5
164.5,8.0,170.0
91.5,4.0,92.5
40.0,0.0,40.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
15.5,97.0,23.5
69.5,559.5,216.5
91.0,792.0,466.0
99.5,902.5,691.0
102.5,960.5,862.5
103.5,989.0,964.5
104.0,994.0,988.0
393.0,61.0,445.5
232.5,520.5,633.5
144.0,6.0,148.0
70.5,775.5,374.5
40.5,507.0,129.5
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
12.0,165.5,24.5
51.5,657.5,222.0
71.5,843.5,469.5
83.5,928.0,691.0
92.0,970.0,859.5
96.5,990.0,960.0
97.0,996.0,984.5
96.0,984.0,930.0
90.0,956.0,801.5
79.0,904.0,611.5
65.0,792.0,376.5
39.0,517.5,130.5
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
11.5,179.0,25.5
49.0,690.0,227.0
66.5,872.0,478.0
221.0,526.5,548.5
419.5,214.5,592.0
450.0,323.5,731.5
490.0,255.5,718.5
407.5,44.5,446.0
405.0,148.0,517.0
272.5,59.5,307.5
166.0,47.0,185.5
41.5,506.5,132.5
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
12.0,157.5,24.0
39.0,0.0,39.0
140.0,4.5,142.0
119.0,2.5,121.0
398.5,108.0,486.0
440.5,152.0,571.5
207.5,20.0,225.5
323.0,38.0,355.5
160.0,499.5,549.5
76.5,913.0,618.5
66.5,791.5,381.5
41.0,517.0,134.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.0,1.0
23.5,0.0,23.5
101.0,0.0,101.0
319.5,86.0,376.5
424.5,97.0,501.5
375.0,32.0,403.5
484.5,138.5,608.5
481.5,141.0,602.0
373.0,375.5,653.0
297.0,270.5,456.0
161.0,262.0,275.5
59.5,290.5,113.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
11.0,161.5,23.0
48.5,669.5,220.0
67.5,858.0,471.0
81.5,936.0,693.5
91.5,976.0,864.0
99.5,990.0,966.5
311.5,577.0,827.0
246.5,498.0,663.0
248.5,562.0,684.0
214.5,499.0,497.0
80.5,740.5,378.0
45.0,488.5,135.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
11.5,152.0,22.5
51.0,659.0,219.0
71.5,850.5,471.5
83.5,938.5,698.0
251.0,692.0,792.0
418.0,392.0,762.5
386.0,35.0,417.5
363.0,34.5,393.0
340.0,117.5,426.5
304.0,126.5,381.0
