DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
43,90,17,60
149,349,115,265
217,480,265,482
394,209,137,531
385,384,308,694
463,1,1,464
417,361,311,728
463,246,207,669
344,398,260,604
188,563,304,492
118,479,149,267
34,169,26,60
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
36,158,30,66
71,716,239,310
85,891,471,556
150,847,583,733
398,420,337,735
234,772,677,910
232,791,690,922
239,590,490,729
163,749,506,669
159,645,351,510
138,363,122,260
41,127,16,58
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
35,159,30,65
82,663,221,304
88,883,467,555
99,951,661,760
103,991,806,909
105,1006,880,985
106,1004,878,984
107,981,797,904
108,925,643,751
285,157,98,382
168,126,42,210
35,146,16,51
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,119,22,59
95,584,197,292
110,822,434,544
133,883,613,747
141,928,755,896
153,935,818,971
389,506,445,834
414,39,33,448
404,139,93,496
298,40,26,323
148,0,0,148
44,0,0,44
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
34,147,27,61
81,667,220,301
100,853,449,550
109,936,650,759
99,1001,814,913
101,1016,890,991
104,1010,885,990
245,667,557,802
191,248,158,349
220,389,223,444
177,0,0,177
48,0,0,48
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
31,0,0,31
153,4,2,155
202,487,272,474
123,895,623,745
142,921,749,891
273,720,629,902
347,77,68,416
104,0,0,104
249,0,0,249
310,72,33,343
160,280,94,253
50,29,6,56
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
