Ghi,Ebh,Dni,Dhi,CloudOpacity,PeriodEnd,Period
0,0,0,0,31,2021-03-05T03:00:00Z,PT30M
0,0,0,0,51,2021-03-05T02:30:00Z,PT30M
0,0,0,0,57,2021-03-05T02:00:00Z,PT30M
0,0,0,0,60,2021-03-05T01:30:00Z,PT30M
0,0,0,0,60,2021-03-05T01:00:00Z,PT30M
0,0,0,0,52,2021-03-05T00:30:00Z,PT30M
0,0,0,0,57,2021-03-05,PT30M
0,0,0,0,88,2021-03-04T23:30:00Z,PT30M
22,2,1,19,35,2021-03-04T23:00:00Z,PT30M
61,5,8,55,19,2021-03-04T22:30:00Z,PT30M
89,7,17,81,38,2021-03-04T22:00:00Z,PT30M
100,5,10,95,58,2021-03-04T21:30:00Z,PT30M
144,5,9,138,56,2021-03-04T21:00:00Z,PT30M
216,13,21,203,49,2021-03-04T20:30:00Z,PT30M
91,1,2,90,81,2021-03-04T20:00:00Z,PT30M
117,1,1,115,80,2021-03-04T19:30:00Z,PT30M
168,2,3,165,74,2021-03-04T19:00:00Z,PT30M
22,0,0,22,96,2021-03-04T18:30:00Z,PT30M
23,0,0,23,97,2021-03-04T18:00:00Z,PT30M
31,0,0,31,97,2021-03-04T17:30:00Z,PT30M
31,0,0,31,97,2021-03-04T17:00:00Z,PT30M
35,0,0,35,96,2021-03-04T16:30:00Z,PT30M
29,0,0,29,96,2021-03-04T16:00:00Z,PT30M
34,0,0,34,95,2021-03-04T15:30:00Z,PT30M
67,0,0,67,92,2021-03-04T15:00:00Z,PT30M
169,2,2,167,76,2021-03-04T14:30:00Z,PT30M
292,18,30,273,52,2021-03-04T14:00:00Z,PT30M
260,26,51,233,47,2021-03-04T13:30:00Z,PT30M
134,4,12,129,62,2021-03-04T13:00:00Z,PT30M
94,3,12,90,59,2021-03-04T12:30:00Z,PT30M
70,10,60,60,34,2021-03-04T12:00:00Z,PT30M
10,0,2,9,48,2021-03-04T11:30:00Z,PT30M
1,0,0,1,33,2021-03-04T11:00:00Z,PT30M
0,0,0,0,30,2021-03-04T10:30:00Z,PT30M
0,0,0,0,22,2021-03-04T10:00:00Z,PT30M
0,0,0,0,28,2021-03-04T09:30:00Z,PT30M
0,0,0,0,21,2021-03-04T09:00:00Z,PT30M
0,0,0,0,29,2021-03-04T08:30:00Z,PT30M
0,0,0,0,28,2021-03-04T08:00:00Z,PT30M
0,0,0,0,25,2021-03-04T07:30:00Z,PT30M
0,0,0,0,26,2021-03-04T07:00:00Z,PT30M
