#Meteo hourly data
#Site, Solcast_site_-74.072092_4.710989
#Country, Colombia
#Data Source, Solcast https://solcast.com
#Time step, 1
#Latitude, 4.7110
#Longitude, -74.0721
#Altitude, 2557
#Time Zone, -5.0
Year,Month,Day,Hour,Minute,Tamb,Albedo,Azimuth,Cloudopacity,DewPoint,DHI,DNI,EBH,GHI,GtiFixedTilt,GtiTracking,Pw,Pressure,SnowDepth,WindDir,WindVel,Zenith
Year,Month,Day,Hour,Minute,[deg.C],[(0 - 1)],[degree],[%],[deg.C],[W/m2],[W/m2],[W/m2],[W/m2],[W/m2],[W/m2],[cm],[mbar],[cm],[degree],[m/s],[degree]
2019,1,23,0,0,13.5,0.12,-161,30.7,13.0,0,0,0,0,0,0,1.94,810.7,0.0,132,2.1,163
2019,1,23,1,0,13.2,0.12,-129,30.5,12.9,0,0,0,0,0,0,1.9,810.5,0.0,132,2.1,155
2019,1,23,2,0,13.0,0.12,-117,30.6,12.8,0,0,0,0,0,0,1.87,810.3,0.0,131,2.1,142
2019,1,23,3,0,12.9,0.12,-112,28.9,12.7,0,0,0,0,0,0,1.84,810.0,0.0,130,2.1,128
2019,1,23,4,0,13.3,0.12,-110,31.0,13.1,0,0,0,0,0,0,1.87,810.1,0.0,129,2.2,114
2019,1,23,5,0,14.2,0.12,-109,38.6,13.8,0,0,0,0,0,0,1.97,810.4,0.0,128,2.4,100
2019,1,23,6,0,15.1,0.12,-110,37.4,14.4,36,0,0,36,36,36,2.07,810.7,0.0,128,2.5,86
2019,1,23,7,0,16.1,0.12,-113,38.9,14.3,172,0,0,172,172,172,2.12,811.1,0.0,127,2.8,72
2019,1,23,8,0,17.2,0.12,-117,56.4,13.3,228,0,0,228,227,228,2.12,811.4,0.0,126,3.0,59
2019,1,23,9,0,18.3,0.12,-124,52.8,12.3,352,26,19,371,372,378,2.13,811.7,0.0,125,3.3,46
2019,1,23,10,0,19.3,0.12,-137,46.7,11.7,471,26,21,493,493,497,2.13,811.5,0.0,125,3.3,34
2019,1,23,11,0,20.2,0.12,-160,59.0,11.7,417,0,0,417,416,417,2.14,810.7,0.0,125,3.3,26
2019,1,23,12,0,21.1,0.12,168,82.3,11.6,181,0,0,181,181,181,2.15,809.9,0.0,126,3.2,25
2019,1,23,13,0,21.6,0.12,141,65.6,11.5,255,78,63,318,321,329,2.16,809.1,0.0,126,3.1,32
2019,1,23,14,0,21.5,0.12,126,67.8,11.5,243,31,25,268,269,273,2.16,808.5,0.0,126,2.8,43
2019,1,23,15,0,21.4,0.12,118,81.7,11.5,108,0,0,108,108,108,2.17,807.8,0.0,125,2.6,56
2019,1,23,16,0,21.1,0.12,113,31.4,12.1,166,165,59,225,231,339,2.19,807.8,0.0,128,2.5,69
2019,1,23,17,0,20.7,0.12,111,11.3,13.2,65,81,14,78,81,99,2.22,808.4,0.0,133,2.5,83
2019,1,23,18,0,20.2,0.12,109,0.0,14.3,0,1,0,0,0,0,2.26,809.1,0.0,138,2.6,97
2019,1,23,19,0,19.0,0.12,109,0.0,14.4,0,0,0,0,0,0,2.27,809.7,0.0,140,2.7,111
2019,1,23,20,0,17.3,0.12,111,0.0,13.6,0,0,0,0,0,0,2.25,810.3,0.0,137,2.6,125
2019,1,23,21,0,15.6,0.12,115,0.0,12.8,0,0,0,0,0,0,2.23,810.8,0.0,135,2.5,139
2019,1,23,22,0,14.4,0.12,125,0.0,12.4,0,0,0,0,0,0,2.21,811.0,0.0,134,2.4,152
