Timestamp;Sistema FV Andes 80kWp - Básicos - Temperatura de modulos [°C] - T_M0;Sistema FV Andes 80kWp - Básicos - TempT [t] - TA
2021-01-01 00:00:00;;
2021-01-01 01:00:00;12,001;23,309
2021-01-01 02:00:00;12,436;23,870
2021-01-01 03:00:00;11,397;22,497
2021-01-01 04:00:00;11,621;22,787
2021-01-01 05:00:00;10,586;21,402
2021-01-01 06:00:00;10,926;21,487
2021-01-01 07:00:00;11,773;22,535
2021-01-01 08:00:00;16,677;28,164
2021-01-01 09:00:00;25,168;34,669
2021-01-01 10:00:00;39,130;43,448
2021-01-01 11:00:00;24,172;36,361
2021-01-01 12:00:00;34,091;41,573
2021-01-01 13:00:00;41,769;43,263
2021-01-01 14:00:00;21,518;34,072
2021-01-01 15:00:00;18,773;31,657
2021-01-01 16:00:00;21,365;34,319
2021-01-01 17:00:00;18,819;32,667
2021-01-01 18:00:00;14,971;29,295
2021-01-01 19:00:00;13,002;26,001
2021-01-01 20:00:00;12,991;25,527
2021-01-01 21:00:00;12,052;24,509
2021-01-01 22:00:00;11,910;23,893
2021-01-01 23:00:00;12,675;24,573
2021-01-02 00:00:00;13,142;25,018
2021-01-02 01:00:00;12,985;24,862
2021-01-02 02:00:00;12,647;24,280
2021-01-02 03:00:00;12,625;24,180
2021-01-02 04:00:00;13,078;25,089
2021-01-02 05:00:00;11,516;22,911
2021-01-02 06:00:00;11,048;21,446
2021-01-02 07:00:00;12,749;23,755
2021-01-02 08:00:00;17,503;29,618
2021-01-02 09:00:00;22,496;34,861
2021-01-02 10:00:00;21,911;34,410
2021-01-02 11:00:00;22,083;35,068
2021-01-02 12:00:00;25,790;37,577
2021-01-02 13:00:00;29,973;39,987
2021-01-02 14:00:00;22,516;36,243
2021-01-02 15:00:00;21,430;35,177
2021-01-02 16:00:00;21,894;35,552
2021-01-02 17:00:00;14,695;27,682
2021-01-02 18:00:00;13,882;26,484
2021-01-02 19:00:00;11,719;23,676
2021-01-02 20:00:00;11,195;22,549
2021-01-02 21:00:00;11,493;22,967
2021-01-02 22:00:00;11,649;22,890
2021-01-02 23:00:00;12,181;23,798
2021-01-03 00:00:00;12,571;24,317
2021-01-03 01:00:00;11,801;23,337
2021-01-03 02:00:00;11,277;21,971
2021-01-03 03:00:00;12,116;23,190
2021-01-03 04:00:00;11,981;23,248
2021-01-03 05:00:00;10,904;21,486
2021-01-03 06:00:00;10,115;20,736
2021-01-03 07:00:00;10,687;20,567
2021-01-03 08:00:00;14,904;25,880
2021-01-03 09:00:00;23,714;35,090
2021-01-03 10:00:00;27,559;38,492
2021-01-03 11:00:00;36,935;41,559
2021-01-03 12:00:00;45,666;44,585
2021-01-03 13:00:00;39,280;43,144
2021-01-03 14:00:00;19,382;33,537
2021-01-03 15:00:00;21,546;35,288
2021-01-03 16:00:00;23,340;37,171
2021-01-03 17:00:00;20,750;34,875
2021-01-03 18:00:00;18,935;32,937
2021-01-03 19:00:00;15,903;29,421
2021-01-03 20:00:00;15,323;28,686
2021-01-03 21:00:00;14,460;27,428
2021-01-03 22:00:00;14,101;26,882
2021-01-03 23:00:00;13,185;25,612
2021-01-04 00:00:00;10,912;21,732
2021-01-04 01:00:00;9,720;19,595
2021-01-04 02:00:00;8,698;17,494
2021-01-04 03:00:00;8,165;16,296
2021-01-04 04:00:00;7,852;15,644
2021-01-04 05:00:00;8,451;16,272
2021-01-04 06:00:00;10,673;20,336
2021-01-04 07:00:00;11,623;21,877
2021-01-04 08:00:00;21,718;31,878
2021-01-04 09:00:00;37,758;42,789
2021-01-04 10:00:00;32,217;40,905
2021-01-04 11:00:00;42,768;44,461
2021-01-04 12:00:00;47,397;44,915
2021-01-04 13:00:00;40,722;44,096
2021-01-04 14:00:00;31,545;41,570
2021-01-04 15:00:00;23,126;37,727
2021-01-04 16:00:00;19,490;34,483
2021-01-04 17:00:00;13,455;26,372
2021-01-04 18:00:00;10,364;19,954
2021-01-04 19:00:00;12,669;24,212
2021-01-04 20:00:00;12,942;25,089
2021-01-04 21:00:00;12,861;24,815
2021-01-04 22:00:00;12,822;24,939
2021-01-04 23:00:00;11,461;22,808
2021-01-05 00:00:00;10,948;21,469
2021-01-05 01:00:00;10,123;19,884
2021-01-05 02:00:00;8,847;17,739
2021-01-05 03:00:00;8,093;16,131
2021-01-05 04:00:00;8,808;16,939
2021-01-05 05:00:00;7,635;15,250
2021-01-05 06:00:00;7,191;14,328
2021-01-05 07:00:00;7,713;14,978
2021-01-05 08:00:00;22,661;31,344
2021-01-05 09:00:00;37,808;42,540
2021-01-05 10:00:00;45,988;44,999
2021-01-05 11:00:00;49,140;45,021
2021-01-05 12:00:00;46,921;44,599
