Date & Time,Date,Time,Temp - °C,Temp. Alta - °C,Temp. Baja - °C,Hum - %,Punto de rocío - °C,Wet Bulb - °C,Velocidad del viento - m/s,Dirección del viento,Viento Corriente - m,Alta velocidad del viento - m/s,Alta Dirección del viento,Viento Frío - °C,Índice de calor - °C,THW Index - °C,THSW  índice - °C,Barómetro - mm Hg,Lluvia - mm,Tasa de lluvia - mm/h,Rad Solar - W/m^2,Energía solar,Rad Solar Alta - W/m^2,ET - mm,El índice UV - Index,Dosis de UV,Alto índice UV - Index,Días-grado de calentamiento,Días-grado de enfriamiento
2019-05-07 16:00:00,2019-05-07 00:00:00,16:00:00,21.2,21.3,21.2,47.0,9.5,12.2,0.9,ENE,0.89,1.8,ESE,21.2,20.2,20.2,,556.2,0.0,0.0,,,,0.0,1.6,0.69,1.6,0.0,0.217
2019-05-07 17:00:00,2019-05-07 00:00:00,17:00:00,19.4,23.0,19.4,52.0,9.3,11.8,0.4,E,0.45,4.5,SE,19.4,18.7,18.7,19.4,556.3,0.0,0.0,59.0,5.08,162.0,0.05,0.4,0.17,1.6,0.0,0.083
2019-05-07 18:00:00,2019-05-07 00:00:00,18:00:00,17.4,19.5,17.4,60.0,9.6,11.7,1.3,ESE,1.34,4.9,ESE,17.4,16.8,16.8,16.1,555.9,0.0,0.0,47.0,4.04,97.0,0.05,0.0,0.0,0.5,0.067,0.0
2019-05-07 19:00:00,2019-05-07 00:00:00,19:00:00,16.4,17.4,16.3,64.0,9.6,11.5,2.2,ESE,2.24,5.4,E,16.4,15.9,15.9,14.6,556.7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.142,0.0
2019-05-07 20:00:00,2019-05-07 00:00:00,20:00:00,16.3,16.6,16.1,67.0,10.2,11.9,0.9,SE,0.89,3.1,SSE,16.3,15.9,15.9,14.6,557.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.15,0.0
2019-05-07 21:00:00,2019-05-07 00:00:00,21:00:00,16.2,16.7,15.7,68.0,10.3,11.9,0.9,S,0.89,4.5,S,16.2,15.7,15.7,14.4,558.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.163,0.0
2019-05-07 22:00:00,2019-05-07 00:00:00,22:00:00,16.1,16.2,15.2,68.0,10.1,11.8,0.4,ESE,0.45,3.6,E,16.1,15.6,15.6,14.3,557.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.171,0.0
2019-05-07 23:00:00,2019-05-07 00:00:00,23:00:00,14.9,16.1,14.7,70.0,9.5,11.1,0.4,SE,0.45,3.1,ESE,14.9,14.4,14.4,13.1,557.6,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.254,0.0
2019-05-08 00:00:00,2019-05-08 00:00:00,00:00:00,14.8,15.6,14.3,71.0,9.6,11.2,0.9,ESE,0.89,3.6,ESE,14.8,14.4,14.4,13.1,557.7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.262,0.0
2019-05-08 01:00:00,2019-05-08 00:00:00,01:00:00,14.9,14.9,13.9,72.0,9.9,11.4,0.9,ESE,0.89,4.5,SE,14.9,14.5,14.5,13.2,557.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.258,0.0
